name,city,state,lat,lon,proof_url
fair,Gainesville,FL,,,https://oll-leasing.loftliving.com/oll/?siteId=4618801&MoveInDate=09/09/2026&UnitId=130&oll-source-attribution=apartments.com
9851 6 Mile Cypress Parkway,Fort Myers,FL,,,https://oll-leasing.loftliving.com/oll/?siteId=4497433&MoveInDate=08/30/2026&UnitId=271&oll-source-attribution=apartments.com
averna,Fort Myers,FL,26.62092,-81.8024178,https://oll-leasing.loftliving.com/oll/?siteId=5373800&MoveInDate=04/25/2025&UnitId=29&oll-source-attribution=apartments.com
2346 Winkler Avenue,Fort Myers,FL,26.604269826238,-81.864842932201,https://oll-leasing.loftliving.com/oll/?siteId=4956562&MoveInDate=09/02/2026&UnitId=218&oll-source-attribution=apartments.com
3701 WINKLER AVE,Fort Myers,FL,26.605544983917,-81.835419895164,https://oll-leasing.loftliving.com/oll/?siteId=4925351&MoveInDate=11/16/2026&UnitId=290&oll-source-attribution=apartments.com
3891 Solomon Blvd,Fort Myers,FL,26.607290844926,-81.867328130306,https://oll-leasing.loftliving.com/oll/?siteId=5471855&MoveInDate=09/12/2026&UnitId=25&oll-source-attribution=apartments.com
2300 Bluff Oak Way,Tallahassee,FL,30.413390504069,-84.231303295682,https://oll-leasing.loftliving.com/oll/?siteId=3625661&MoveInDate=09/10/2026&UnitId=2&oll-source-attribution=apartments.com
Sunset Place Apartments,West Palm Beach,FL,26.746128139397,-80.065305935943,https://sunsetplaceapts.loftliving.com/support/pincode
11200 Hermosa Street,Royal Palm Beach,FL,,,https://oll-leasing.loftliving.com/oll/?siteId=5399202&MoveInDate=10/09/2026&UnitId=138&oll-source-attribution=apartments.com
290 North Olive Avenue,West Palm Beach,FL,26.715113626224,-80.05178052689,https://oll-leasing.loftliving.com/oll/?siteId=4566809&MoveInDate=09/02/2026&UnitId=31&oll-source-attribution=apartments.com
36090 US Highway 19 North,Palm Harbor,FL,28.099104417423,-82.739800246612,https://oll-leasing.loftliving.com/oll/?siteId=5486696&MoveInDate=07/14/2026&UnitId=173&oll-source-attribution=apartments.com
1950 West 49th Street,Hialeah,FL,25.86657699718,-80.321935029408,https://oll-leasing.loftliving.com/oll/?siteId=5562315&MoveInDate=05/02/2026&UnitId=58&oll-source-attribution=apartments.com
2551 N Guadalupe St,Seguin,TX,29.596312551322,-97.969824966306,https://oll-leasing.loftliving.com/affordable/?siteId=5586961#!/oll/affordable-welcome
Obrien Road Senior Apartments 2,Syracuse,NY,43.11623754088,-76.29163571008,https://obrienroadseniorapartments2.loftliving.com/
Bessie Riordan School Apartments,Syracuse,NY,43.098006149056,-76.1414995691,https://bessieriordanschoolapartments.loftliving.com/support/pincode
Need an Account?,Port Chester,NY,41.002782518577,-73.665050459951,https://thelighthouseapartments.loftliving.com/support/pincode
Cedar Moor Apartments,Raleigh,NC,35.772201898472,-78.6067723621,https://cedarmoorapartments.loftliving.com/
Need an Account?,Raleigh,NC,35.880092823329,-78.692249589477,https://woodlakedowns.loftliving.com/support/pincode
Apartments,Raleigh,NC,35.760292223043,-78.694140868791,https://trailwoodcrossingapartments.loftliving.com/support/pincode
Apartments,Raleigh,NC,35.834025247167,-78.715040245141,https://oll-leasing.loftliving.com/oll/?siteId=4884532&MoveInDate=07/22/2026&UnitId=122&oll-source-attribution=apartments.com
