apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code,website,website_confidence,software,signal,proof_url,checked_at,unknown_reason
2006888,Colonnade At Willow Bend Apartments,1101 Meredith Ln,Plano,75093,338,1993,1100 MEREDITH LANE INC,2,2006888;2006889,MFU,https://www.colonnadeatwillowbend.com/,high,Yardi,portal,https://colonnadeatwillowbend.securecafe.com/onlineleasing/colonnade-at-willow-bend/guestlogin.aspx,2026-09-10,
2929495,The Buckley,600 Kissimmee Dr,Plano,75075,338,2024,HERITAGE CREEKSIDE BLOCK A1 OWNER LLC,1,2929495,MFU,https://thebuckleyplano.com/,high,RealPage,hop-portal,https://thebuckleytx.loftliving.com/login,2026-09-10,
2097508,Villas At Legacy Apartments,5301 W Spring Creek Pkwy,Plano,75024,328,1999,JLLX VILLAS AT LEGACY DST,1,2097508,MFU,https://villasatlegacy-plano.com/,high,RealPage,hop-portal,https://villasatlegacyapts.activebuilding.com/login,2026-09-10,
2805254,Lvl 29 Apartments,6000 Columbus Ave,Plano,75024,328,2017,NE WEST LEGACY LP,1,2805254,MFU,https://www.lvl29life.com/,high,RealPage,portal,https://lvl29.activebuilding.com/login,2026-09-10,
2002288,Avalon At Chase Oaks Apartments,801 Legacy Dr,Plano,75023,326,1991,PLANO PUBLIC FACILITY CORPORATION,1,2002288,MFU,https://www.avalonatchaseoaksapts.com/,high,Entrata,portal,https://avalonatchaseoaksapts.residentportal.com/auth,2026-09-10,
2779499,Bridge At Heritage Creek Apartments,1550 W Plano Pkwy,Plano,75075,326,2015,BRIDGE AT HERITAGE CREEKSIDE I LLC THE,2,2779499;2779500,MFU,https://www.thebridgeplano.com/,high,RealPage,portal,https://7613495.onlineleasing.realpage.com/,2026-09-10,
2908642,The Ludlow,601 Belpree Dr,Plano,75075,326,2022,HERITAGE CREEKSIDE BLOCK B OWNER LLC,1,2908642,MFU,https://theludlowplano.com/,high,RealPage,portal,https://9033774.onlineleasing.realpage.com/,2026-09-10,
356947,Aura Northline,541 J Pl,Plano,75074,325,2024,TRG NORTHLINE LP,2,356947;356965,MFU,https://www.auranorthline.com/,high,Yardi,portal,https://auranorthline.securecafenet.com/residentservices/aura-northline/userlogin,2026-09-10,
2069317,La Ventura Apartments,2600 Ventura Dr,Plano,75093,324,1998,LA VENTURA PLANO LLC,1,2069317,MFU,http://www.laventuraapartments.c,high,unknown,none,,2026-09-10,no-portal-link
2504520,Mcdermott Place Apartments,8900 Independence Pkwy,Plano,75025,324,2000,HEITMAN CREDIT ACQUISITION XL LP,1,2504520,MFU,https://www.mcdermottplace.com/,high,Yardi,portal,https://www.rentcafe.com/residentservices/mcdermott-place1/userlogin.aspx,2026-09-10,
2543479,Cottonwood Ridgeview,9100 Independence Pkwy,Plano,75025,322,2004,COTTONWOOD COURTNEY MANOR H LLC &,1,2543479,MFU,https://www.cottonwoodridgeview.com/,high,Entrata,portal,https://courtneymanor.residentportal.com/resident_portal/?module=authentication&action=view_login,2026-09-10,
2672947,Gateway Crossing Apts,380 Vistacourt Dr,Plano,75074,322,2014,BELL VALUE-ADD FUND VIII GATEWAY LP,1,2672947,MFU,https://www.bellgatewayvillage.com/,high,Yardi,portal,https://bellgatewayvillage.securecafe.com/onlineleasing/bell-gateway-village/guestlogin.aspx?ssid=c8258fe116883379615dfa8480b78d04,2026-09-10,
2628294,Huntington Apartments,4925 Rasor Blvd,Plano,75024,320,2016,FAIRFIELD HUNTINGTON LP,1,2628294,MFU,,none,unknown,none,,,no-website
2571968,Maa At Market Center Ii Apartments,440 Coit Rd,Plano,75075,318,2014,MID-AMERICA APARTMENTS LP,1,2571968,MFU,,none,unknown,none,,,no-website
2945424,Park Residences Plano,1109 Park Vista Rd,Plano,75094,318,2019,PARK RESIDENCES PLANO WEST LLC,2,2945424;2945425,MFUSE,https://www.parkresidences-plano.com/,high,Yardi,portal,https://parkresidences-plano.securecafenet.com/residentservices/park-residences-plano-properties/userlogin,2026-09-10,
1963481,Collin Creek Apartments,2301 Pebble Vale Dr,Plano,75075,314,1988,PLANO PUBLIC FACILITY CORPORATION,1,1963481,MFU,https://www.affordablehousing.com/plano-tx/collin-creek-851899/,high,unknown,none,,2026-09-10,no-portal-link
2666205,Parkside At Legacy V Apts,5745 Bozeman Dr,Plano,75024,310,2011,5765 BOZEMAN (TX) OWNER LP,1,2666205,MFU,https://www.dallasapartmentsuptown.com/estate/parkside-at-legacy-apartments/,high,unknown,none,,2026-09-10,no-portal-link
2763842,Opal Legacy Central Apartments,6500 Excellence Way,Plano,75023,310,2019,PLANO PUBLIC FACILITY CORPORATION,1,2763842,MFU,,none,unknown,none,,,no-website
2787666,Latitude Apartments,601 Patton Blvd,Plano,75075,304,2019,PLANO PUBLIC FACILITY CORPORATION,1,2787666,MFU,https://www.latitudeplano.com/,high,Entrata,portal,https://latitudeplano.residentportal.com/,2026-09-10,
1976049,Lakeshore At Preston Apartments,3700 Preston Rd,Plano,75093,302,1991,SIMFA LAKESHORE FEE SIMPLE LLC,1,1976049,MFU,https://www.lakeshoreatpreston.com/,high,Yardi,portal,https://lakeshoreatpreston.securecafe.com/onlineleasing/lakeshore-at-preston0/guestlogin.aspx,2026-09-10,
2070489,Sheridan Park At Spring Creek Apartments,2001 E Spring Creek Pkwy,Plano,75074,300,1997,SPRING CREEK FEE OWNER LLC,1,2070489,MFU,https://www.furnishedhousing.com/property/50180/tx/plano/sheridan-park-at-spring-creek,high,unknown,none,,2026-09-10,no-portal-link
2073802,Waters Edge Apartments,5000 Whitestone Ln,Plano,75024,300,1997,SAGAR EDGE MASTER LLC,1,2073802,MFU,https://watersedgeplano.com/,high,Yotta,portal,https://adaraportal.yottareal.com/dba/dba-amenities?dbaid=94,2026-09-10,
2560139,Axis 3700,3700 Mapleshade Ln,Plano,75075,300,2014,APARTMENTS AXIS SPE LLC &,1,2560139,MFU,https://www.student.com/us/tx/richardson/p/axis-3700,high,unknown,none,,2026-09-10,no-portal-link
2786868,Kincaid At Legacy Apartments,7200 Dallas Pkwy,Plano,75024,300,2017,KINCAID AT LEGACY TEXAS LLC,1,2786868,MFU,https://thekincaidlegacyplano.com/,high,Yardi,hop-portal,https://thekincaidlegacyplano.securecafe.com/residentservices/the-kincaid-at-legacy/userlogin.aspx,2026-09-10,
1824574,Summers Crossing Apartments,1500 Preston Rd,Plano,75093,294,1985,PLANO PUBLIC FACILITY CORPORATION,1,1824574,MFU,,none,unknown,none,,,no-website
2843992,Legacy North,5765 Bozeman Dr,Plano,75024,293,2009,5765 BOZEMAN (TX) OWNER LP,1,2843992,MFU,https://www.legacynorthapts.com/,high,unknown,none,,2026-09-10,no-portal-link
1571757,Cross Creek Apartments,7401 Alma Dr,Plano,75025,290,1983,ANNE MAYA - PLANO LLC &,1,1571757,MFU,https://thecrosscreek.com/,high,Yotta,portal,https://adaraportal.yottareal.com/dba/dba-amenities?dbaid=42&dbaid=42,2026-09-10,
2084407,Ranch At Ridgeview Apartments,2901 Ridgeview Dr,Plano,75025,288,1998,RAR PLANO LLC,1,2084407,MFU,https://www.theranchatridgeview.com/,high,RealPage,hop-portal,https://property.onesite.realpage.com/welcomehome?siteId=4395751,2026-09-10,
