apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code
1268247,Fox Trails Apartments,6300 Roundrock Trl,Plano,75023,286,1981,FOX PARTNERS LLC,1,1268247,MFU
2712754,Junction 15 Apartments,930 E 15Th St,Plano,75074,279,2013,TR JUNCTION 15 LLC,1,2712754,MFU
1503117,Bellevue At Spring Creek Apartments,2401 W Spring Creek Pkwy,Plano,75023,278,1982,SPRING CREEK 278 LLC,1,1503117,MFU
113282,Hunters Glen Apartments,6400 Independence Pkwy,Plano,75023,276,1980,6400 INDEPENDENCE PLANO LLC,1,113282,MFU
2039198,Camden Legacy Park Apartments,6600 Preston Rd,Plano,75024,276,1995,2009 COLP COMMUNITY OWNER LLC,1,2039198,MFU
2047307,Prestonwood Hills Apartments,6601 W Plano Pkwy,Plano,75093,272,1996,RJW PRESTONWOOD HILLS LP,1,2047307,MFU
2091841,Windsor At Legacy,6400 Windcrest Dr,Plano,75024,270,1998,MAINSTAY LEGACY PLANO LP,1,2091841,MFU
2932770,The Emory,1345 14Th St,Plano,75074,270,2023,GRAYCO PLANO INVESTMENT 2022 LP,1,2932770,MFU
1971215,Marquis At Legacy Apartments,6820 Preston Rd,Plano,75024,268,1990,CWS BELL LP & CWS WWL LEGACY LP,1,1971215,MFU
1971235,Cottages At Tulane Apartments,2600 Preston Rd,Plano,75093,268,1990,BRISTLECONE TEXAS LTD,1,1971235,MFU
179611,Evana Grove,3500 Hillridge Dr,Plano,75074,266,1970,LURIN REAL ESTATE HOLDINGS LXIII LLC,1,179611,MFU
2041713,Ellington,4701 Preston Park Blvd,Plano,75093,266,1995,S2 PRESTON PARK LP,1,2041713,MFU
2071041,Parker Apartments,4701 Charles Pl,Plano,75093,264,1997,PLANO GFPG LLC,1,2071041,MFU
2686924,Amli West Plano,5961 W Parkwood Blvd,Plano,75093,264,2014,PPF AMLI WEST PLANO VILLAGE LP,1,2686924,MFU
2858142,Residences At Promontory,4700 W Spring Creek Pkwy,Plano,75093,264,2023,PROMONTORY RESIDENTIAL LP,1,2858142,MFU
94855,Fairway Apartments,1705 Coit Rd,Plano,75075,256,1979,FAIRWAY GARDENS LP,1,94855,MFU
2116704,Lakeside At Legacy Village Apartments I & Ii,7001 Parkwood Blvd,Plano,75024,255,2003,UDR LEGACY VILLAGE LLC,1,2116704,MFU
2672946,Park At Gateway Apartments,355 Vistaglen Dr,Plano,75074,255,2016,BELL VALUE-ADD FUND VIII GATEWAY LP,1,2672946,MFU
2672945,Bell Gateway Village,350 Vista Court Dr,Plano,75074,254,2012,BELL VALUE-ADD FUND VIII GATEWAY LP,1,2672945,MFU
2544000,Bel Air Downtown,1404 Vontress St,Plano,75074,253,2001,BEL AIR MULTI 50 LLC &,2,2544000;2544001,MFU
1935918,Villas At Chase Oaks Apartments,600 Legacy Dr,Plano,75023,250,1986,WWC CHASE OAKS LP,1,1935918,MFU
2556799,Evergreen At Plano Apts Senior Chodo,600 Independence Pkwy,Plano,75075,250,2004,PWA-PLANO INDEPENDENCE SENIOR COMMUNITY LP,1,2556799,MFUSU
2595347,Kia Ora Park Apartments,9300 Coit Rd,Plano,75025,250,2006,EQR-KIA ORA PARK LP,1,2595347,MFU
1623283,Legacy Apartments,6909 Custer Rd,Plano,75023,244,1984,CORNERSTONE LEGACY LP,1,1623283,MFU
1972919,Old Shepard Place Apartments,1520 Preston Rd,Plano,75093,244,1990,PROPERTY RESERVE INC,1,1972919,MFU
2031654,Garden Gate Apartments Chodo,1201 Legacy Dr,Plano,75023,240,1994,GARDEN GATE PL ACQUISITION LP,1,2031654,MFUSU
2031655,Camden Legacy Creek Apartments,6400 Ohio Dr,Plano,75024,240,1994,CAMDEN OPERATING LP,1,2031655,MFU
2084397,Point At Deerfield Apartments,4640 Hedgcoxe Rd,Plano,75024,240,1998,PASKIN PROPERTIES - 4640 HEDGECOXE LLC &,1,2084397,MFU
