apt_id,software,signal,proof_url,checked_at,unknown_reason
2581386,Yardi,portal,https://villas-of-spring-creek.securecafe.com/residentservices/villas-of-spring-creek/userlogin.aspx,2026-09-10,
1627494,ResMan,portal,https://s2capital.myresman.com/Portal/Applicants/Availability?a=1080&p=3683ab21-b83b-4d31-b29f-584e422c6d46&_gl=1*1i1vner*_gcl_au*MTA3MjUyMDkwMy4xNjk4MjA3MTM1*_ga*MTM2OTY2OTE4Mi4xNjk4MjA3MTM1*_ga_8SMWMMGMWV*MTY5ODIxMTk0My4yLjEuMTY5ODIxMzk5Ny41Ni4wLjA.,2026-09-10,
2739046,Yardi,portal,https://centricone90.securecafenet.com/residentservices/aura-one900/userlogin,2026-09-10,
2763841,unknown,none,,,no-website
2058512,RealPage,hop-portal,https://creeksideatlegacy.loftliving.com/login,2026-09-10,
2861988,Yardi,portal,https://liveferro.securecafe.com/onlineleasing/ferro/guestlogin.aspx,2026-09-10,
2023604,Entrata,portal,https://thornburyatchaseoaksapts.residentportal.com/auth,2026-09-10,
1771372,Yardi,portal,https://steeplechasedallas.securecafenet.com/residentservices/steeplechase-apartments/userlogin,2026-09-10,
2028165,Yardi,portal,https://bentleyplaceapts.securecafe.com/residentservices/bentley-place/userlogin.aspx?PropLeadSource_159686=portal&_yTrackUser=NDQ3MzU3NjM1MyMxMzA0NTM5NjQ2-wfkN6zeYcEA%253d&_yTrackVisit=NzIxNDUxNzQ2MyMxNzI5NjczMjIw-57u%252f%252f6CZm4E%253d&_yTrackReqDT=08301820261009,2026-09-10,
2058800,Entrata,portal,https://1201parkapts.residentportal.com/,2026-09-10,
2039201,Yardi,portal,https://livecarringtonpark.securecafe.com/residentservices/carrington-park-4/userlogin.aspx?PropLeadSource_649995=portal&_yTrackUser=NDQ3MzQ2NDQ2NiMxMjEzNTgzODgz-Vy3m9RaLdZo%253d&_yTrackVisit=NzIxNDM0MjU2MyMxODg0NzQzMzIy-uhOUfrqxSp8%253d&_yTrackReqDT=44341720261009,2026-09-10,
2895746,Yardi,portal,https://windsorwestplano.securecafe.com/residentservices/windsor-west-plano/userlogin.aspx,2026-09-10,
1708628,ResMan,portal,https://jpns.myresman.com/Portal/Access/SignIn/WOM,2026-09-10,
2924684,RealPage,portal,https://one90gateway.loftliving.com/login,2026-09-10,
2058069,Yardi,portal,https://sitemanager.rentcafe.com/residentservices/legends-at-chase-oaks-2/userlogin.aspx,2026-09-10,
2053077,Yardi,hop-portal,https://brooksonpreston.securecafe.com/residentservices/brooks-on-preston/userlogin.aspx,2026-09-10,
2006888,Yardi,portal,https://colonnadeatwillowbend.securecafe.com/onlineleasing/colonnade-at-willow-bend/guestlogin.aspx,2026-09-10,
2929495,RealPage,hop-portal,https://thebuckleytx.loftliving.com/login,2026-09-10,
2097508,RealPage,hop-portal,https://villasatlegacyapts.activebuilding.com/login,2026-09-10,
2805254,RealPage,portal,https://lvl29.activebuilding.com/login,2026-09-10,
2002288,Entrata,portal,https://avalonatchaseoaksapts.residentportal.com/auth,2026-09-10,
2779499,RealPage,portal,https://7613495.onlineleasing.realpage.com/,2026-09-10,
2908642,RealPage,portal,https://9033774.onlineleasing.realpage.com/,2026-09-10,
356947,Yardi,portal,https://auranorthline.securecafenet.com/residentservices/aura-northline/userlogin,2026-09-10,
2069317,unknown,none,,2026-09-10,no-portal-link
2504520,Yardi,portal,https://www.rentcafe.com/residentservices/mcdermott-place1/userlogin.aspx,2026-09-10,
2543479,Entrata,portal,https://courtneymanor.residentportal.com/resident_portal/?module=authentication&action=view_login,2026-09-10,
2672947,Yardi,portal,https://bellgatewayvillage.securecafe.com/onlineleasing/bell-gateway-village/guestlogin.aspx?ssid=c8258fe116883379615dfa8480b78d04,2026-09-10,
2628294,unknown,none,,,no-website
2571968,unknown,none,,,no-website
2945424,Yardi,portal,https://parkresidences-plano.securecafenet.com/residentservices/park-residences-plano-properties/userlogin,2026-09-10,
1963481,unknown,none,,2026-09-10,no-portal-link
2666205,unknown,none,,2026-09-10,no-portal-link
2763842,unknown,none,,,no-website
2787666,Entrata,portal,https://latitudeplano.residentportal.com/,2026-09-10,
1976049,Yardi,portal,https://lakeshoreatpreston.securecafe.com/onlineleasing/lakeshore-at-preston0/guestlogin.aspx,2026-09-10,
2070489,unknown,none,,2026-09-10,no-portal-link
2073802,Yotta,portal,https://adaraportal.yottareal.com/dba/dba-amenities?dbaid=94,2026-09-10,
2560139,unknown,none,,2026-09-10,no-portal-link
2786868,Yardi,hop-portal,https://thekincaidlegacyplano.securecafe.com/residentservices/the-kincaid-at-legacy/userlogin.aspx,2026-09-10,
1824574,unknown,none,,,no-website
2843992,unknown,none,,2026-09-10,no-portal-link
1571757,Yotta,portal,https://adaraportal.yottareal.com/dba/dba-amenities?dbaid=42&dbaid=42,2026-09-10,
2084407,RealPage,hop-portal,https://property.onesite.realpage.com/welcomehome?siteId=4395751,2026-09-10,
2818383,Yardi,portal,https://windsorpreston.securecafe.com/residentservices/windsor-preston/userlogin.aspx,2026-09-10,
1268247,Entrata,portal,https://foxtrailsapts.residentportal.com/auth,2026-09-10,
2712754,unknown,none,,2026-09-10,no-portal-link
1503117,unknown,none,,,no-website
113282,Yardi,hop-portal,https://thehuntersglen.securecafe.com/residentservices/hunters-glen2/userlogin.aspx,2026-09-10,
2039198,in-house:Camden,portal,https://www.mycamden.com/,2026-09-10,
2047307,Yardi,portal,https://prestonwoodhillsapts.securecafe.com/residentservices/prestonwood-hills/userlogin.aspx,2026-09-10,
2091841,Yardi,portal,https://windsoratlegacy.securecafe.com/residentservices/windsor-at-legacy/userlogin.aspx,2026-09-10,
2932770,Entrata,portal,https://theemoryplano.residentportal.com/,2026-09-10,
1971215,Yardi,hop-portal,https://mqlegacy.securecafe.com/residentservices/marquis-at-legacy/userlogin.aspx,2026-09-10,
1971235,RealPage,portal,https://46544.onlineleasing.realpage.com/,2026-09-10,
179611,unknown,none,,2026-09-10,no-portal-link
2041713,Yardi,portal,https://liveellington.securecafe.com/onlineleasing/the-ellington5/guestlogin.aspx,2026-09-10,
2071041,unknown,none,,2026-09-10,no-portal-link
2686924,Entrata,portal,https://amliwestplano-prospectportal.amli.com/Apartments/module/application_authentication,2026-09-10,
2858142,Yardi,portal,https://theresidencesatpromontory.securecafe.com/onlineleasing/the-residences-at-promontory/register.aspx,2026-09-10,
94855,MRI/RentManager,hop-portal,https://www.mrisoftware.com/portalprivacypolicy/,2026-09-10,
2116704,in-house:UDR,portal,https://residents.udr.com/,2026-09-10,
2672946,unknown,none,,2026-09-10,no-portal-link
2672945,Yardi,portal,https://bellgatewayvillage.securecafe.com/onlineleasing/bell-gateway-village/guestlogin.aspx?ssid=c8258fe116883379615dfa8480b78d04,2026-09-10,
2544000,Yardi,portal,https://belairdowntown.securecafenet.com/residentservices/bel-air-downtown/userlogin?dropdownlangid=999,2026-09-10,
1935918,Entrata,portal,https://villasatchaseoakscaf.residentportal.com/auth,2026-09-10,
2556799,Yardi,portal,https://www.rentcafe.com/residentservices/evergreen-at-plano/userlogin.aspx,2026-09-10,
2595347,unknown,none,,,no-website
2122987,RealPage,portal,https://9251208.onlineleasing.realpage.com/?OLL-source-attribution=Property%20Website,2026-09-10,
1623283,Yardi,portal,https://legacy-anterra.securecafenet.com/residentservices/legacy-0/userlogin,2026-09-10,
1972919,unknown,none,,,no-website
2031654,RealPage,portal,https://gardengateplano.activebuilding.com/login,2026-09-10,
2031655,in-house:Camden,portal,https://www.mycamden.com/,2026-09-10,
2084397,Yardi,portal,https://thepointatdeerfield.securecafe.com/onlineleasing/the-point-at-deerfield-apartments/guestlogin.aspx,2026-09-10,
2582787,RealPage,portal,https://1206646.onlineleasing.realpage.com/,2026-09-10,
2614632,RealPage,hop-portal,https://dorianandencore.loftliving.com/login,2026-09-10,
92688,RealPage,portal,https://17756ollv3.onlineleasing.realpage.com/,2026-09-10,
365483,RealPage,portal,https://9313892.onlineleasing.realpage.com/,2026-09-10,
2120057,Yardi,hop-portal,https://townsofchapelhill.securecafenet.com/residentservices/towns-of-chapel-hill/userlogin?ssid=06c8f869c80fc626c6bcac33d1375ff1,2026-09-10,
1716655,unknown,none,,2026-09-10,no-portal-link
2900849,Yardi,portal,https://pivotal-communities.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,2026-09-10,
1989159,Yardi,portal,https://the-oaks-at-plano-rentcafewebsite.securecafe.com/residentservices/the-oaks-at-plano/userlogin.aspx,2026-09-10,
2632167,unknown,none,,2026-09-10,no-portal-link
1747603,Entrata,portal,https://birchstonewestplano.residentportal.com/auth,2026-09-10,
2116749,Yardi,portal,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,2026-09-10,
2631255,unknown,none,,2026-09-10,no-portal-link
2846017,Yardi,portal,https://luxiapreston.securecafenet.com/residentservices/luxia-preston0/userlogin,2026-09-10,
2843990,unknown,none,,2026-09-10,no-portal-link
287594,unknown,none,,2026-09-10,no-portal-link
2097518,MRI/RentManager,hop-portal,https://www.mrisoftware.com/portalprivacypolicy/,2026-09-10,
2109636,MRI/RentManager,hop-portal,https://www.mrisoftware.com/portalprivacypolicy/,2026-09-10,
1511233,Yardi,portal,https://thewexleyplano.securecafenet.com/residentservices/harvestree-apartments-llc/userlogin,2026-09-10,
1515006,Yardi,portal,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,2026-09-10,
1974850,Yardi,portal,https://wellingtonplano.securecafe.com/residentservices/wellington-at-willow-bend/userlogin.aspx?PropLeadSource_290974=portal&_yTrackUser=NDQ3MzQ2ODM5MCMxMTQ5NDI5MjYw-BpXYp37yLd4%253d&_yTrackVisit=NzIxNDM0ODY4NCM1MjYzNDYxNzY%253d-mKdqsxPqZEY%253d&_yTrackReqDT=39361720261009,2026-09-10,
134633,AppFolio,asset,https://bumpus.appfolio.com/connect/users/sign_in,2026-09-10,
2802245,Yardi,portal,https://moradaplano.securecafenet.com/residentservices/morada-plano1/userlogin,2026-09-10,
1580300,RealPage,portal,https://1737725.onlineleasing.realpage.com/,2026-09-10,
2132903,Entrata,portal,https://heritageatlakeside.residentportal.com/auth,2026-09-10,
2092539,Entrata,asset,https://medialibrarycfo.entrata.com/16362/MLv3/4/22/2025/11/12/083646/71226_100120043_68360540afa5b2.08208209790.jpg,2026-09-10,
2953639,RealPage,portal,https://mariposacommunicationsparkway.loftliving.com/login,2026-09-10,
2820374,Entrata,portal,https://myorchardatmarketplazatx.prospectportal.com/Apartments/module/application_authentication/,2026-09-10,
2734943,Yardi,hop-portal,https://thehollandlegacywest.securecafe.com/residentservices/the-holland/userlogin.aspx,2026-09-10,
2116750,unknown,none,,,no-website
2710065,Entrata,hop-portal,https://overtureplanonew.residentportal.com/,2026-09-10,
2027278,AppFolio,asset,https://reapmgt.appfolio.com/connect/users/sign_in?portfolio_uuid=8ead78e2-b996-11ef-a8d3-0af44ebe6ded,2026-09-10,
2808931,Yardi,portal,https://instratalegacywest.securecafe.com/onlineleasing/instrata-at-legacy-west/guestlogin.aspx,2026-09-10,
26251,unknown,none,,2026-09-10,no-portal-link
1747612,unknown,none,,,no-website
269792,Yardi,portal,https://belairon16th.securecafenet.com/residentservices/bel-air-on-16th/userlogin?dropdownlangid=999,2026-09-10,
1708744,ResMan,portal,https://uswc.myresman.com/Portal/Access/SignIn/PSP,2026-09-10,
2936294,unknown,none,,2026-09-10,no-portal-link
2545145,Entrata,portal,https://mcdermottpark.residentportal.com/,2026-09-10,
21924,Yardi,portal,https://chisholmplace.securecafenet.com/residentservices/chisholm-place-1/userlogin,2026-09-10,
21157,ResMan,portal,https://uswc.myresman.com/Portal/Access/SignIn/HP,2026-09-10,
1640889,MRI/RentManager,hop-portal,https://www.mrisoftware.com/portalprivacypolicy/,2026-09-10,
2654207,Yardi,portal,https://livecarringtonpark.securecafe.com/residentservices/carrington-park-4/userlogin.aspx?PropLeadSource_649995=portal&_yTrackUser=NDQ3MzQ2NDQ2NiMxMjEzNTgzODgz-Vy3m9RaLdZo%253d&_yTrackVisit=NzIxNDM0MjU2MyMxODg0NzQzMzIy-uhOUfrqxSp8%253d&_yTrackReqDT=44341720261009,2026-09-10,
2843129,unknown,none,,2026-09-10,no-portal-link
2115198,unknown,none,,2026-09-10,no-portal-link
2873065,unknown,none,,2026-09-10,no-portal-link
2107914,ResMan,portal,https://aog.myresman.com/Portal/Access/SignIn/792,2026-09-10,
148646,RealPage,hop-portal,https://altavistaapartments.activebuilding.com/,2026-09-10,
2107892,Yardi,portal,https://langdonatspringcreek.securecafenet.com/residentservices/langdon-at-spring-creek/userlogin,2026-09-10,
2572901,Entrata,portal,https://mcdermottpark.residentportal.com/,2026-09-10,
2721330,Yardi,portal,https://tours-horizonatpremier.securecafe.com/residentservices/avilla-premier0/userlogin.aspx,2026-09-10,
2069471,unknown,none,,2026-09-10,no-portal-link
2873533,RealPage,portal,https://9110723aff.onlineleasing.realpage.com/#k=54874,2026-09-10,
