rank,score,score_size,score_timing,score_signal,score_open,signal,ref_id,name,city,units,software,why,sources
31,53,33,0,15,5,sold,2908642,The Ludlow,Plano,326,RealPage,Owner changed to HERITAGE CREEKSIDE BLOCK B OWNER LLC · 326 units · on RealPage → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2908642);https://9033774.onlineleasing.realpage.com/"
32,52,32,0,15,5,sold,2504520,Mcdermott Place Apartments,Plano,324,Yardi,Owner changed to HEITMAN CREDIT ACQUISITION XL LP · 324 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2504520);https://www.rentcafe.com/residentservices/mcdermott-place1/userlogin.aspx"
33,49,17,12,15,5,sold,2710065,Overture Plano Senior Apartments,Plano,168,Entrata,Sold Sep 2025 to DHC HYB SLC PROPERTIES LLC · 168 units · on Entrata → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2710065);https://overtureplanonew.residentportal.com/"
34,48,23,5,15,5,sold,2058066,Breckinridge Point Apartments,Richardson,226,Yardi,Sold Jun 2025 to BRECKINRIDGE POINT TX LLC · 226 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2058066);https://breckinridgepoint.securecafenet.com/residentservices/breckinridge-point0/userlogin"
35,46,21,5,15,5,sold,2058065,Breckenridge Point Apartments,Richardson,214,Yardi,Sold Jun 2025 to BRECKINRIDGE POINT TX LLC · 214 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2058065);https://breckinridgepoint.securecafenet.com/residentservices/breckinridge-point0/userlogin"
36,45,20,5,15,5,sold,1511233,The Wexley,Plano,204,Yardi,Sold Aug 2025 to HARVESTREE OWNER LLC · 204 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1511233);https://thewexleyplano.securecafenet.com/residentservices/harvestree-apartments-llc/userlogin"
37,43,18,5,15,5,sold,2734943,The Holland,Plano,175,Yardi,Sold Apr 2025 to LW RESIDENTIAL PARTNERS LP · 175 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2734943);https://thehollandlegacywest.securecafe.com/residentservices/the-holland/userlogin.aspx"
38,43,23,0,15,5,sold,365483,Woodlands Of Plano Apartments Tc,Plano,232,RealPage,Owner changed to CLOVER WOODLANDS PLANO OWNER LLC · 232 units · on RealPage → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(365483);https://9313892.onlineleasing.realpage.com/"
39,42,17,5,15,5,sold,2027278,The Calvin,Plano,167,AppFolio,Sold Dec 2024 to RC CALVIN LLC · 167 units · on AppFolio → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2027278);https://reapmgt.appfolio.com/connect/users/sign_in?portfolio_uuid=8ead78e2-b996-11ef-a8d3-0af44ebe6ded"
40,41,16,5,15,5,sold,2808931,Instrata At Legacy West,Plano,161,Yardi,Sold Apr 2025 to LW OWNER 2 LLC · 161 units · on Yardi → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(2808931);https://instratalegacywest.securecafe.com/onlineleasing/instrata-at-legacy-west/guestlogin.aspx"
41,38,13,5,15,5,sold,148646,Alta Vista Apartments,Plano,133,RealPage,Sold Feb 2025 to ALTA VISTA APARTMENTS & TJFL LEGACY LP · 133 units · on RealPage → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(148646);https://altavistaapartments.activebuilding.com/"
42,32,7,5,15,5,sold,1808832,Aspen Court Apartments,Plano,70,ResMan,Sold May 2025 to AMELIA 77 LLC · 70 units · on ResMan → new owner may re-pick software.,"https://data.texas.gov/resource/5tkr-3759.json?$select=propid,dbaname,ownername,deedtypecd,deedeffdate&$where=propid%20in%20(1808832);https://valcap.myresman.com/Portal/Access/SignIn/ASPN"
