apt_id,owner,website_confidence,unknown_reason,sale_date,sale_new_owner,sale_previous_owner,lead_rank,lead_total_leads,lead_why
1808832,AMELIA 77 LLC,high,,2025-05-03,AMELIA 77 LLC,unknown (same owner name in 2025 roll),42,32,Sold May 2025 to AMELIA 77 LLC · 70 units · on ResMan → new owner may re-pick software.
2567179,UDR LEGACY VILLAGE LLC,high,,,,,,,
769,VDS EAT LLC,low,no-website,,,,,,
2856761,2016 OLD TOWN PLANO EAST LTD,low,no-website,,,,,,
2986934,MFREVF V - PLANO LP,high,,,,,,,
354556,PLEASANT PARK APTS LLC,high,no-portal-link,,,,,,
180271,HIH COURTYARD LLC,high,no-portal-link,,,,,,
1764969,SILVERWOOD TOWNHOUSES INC,low,no-website,,,,,,
163325,BELLEVIEW PLACE LLC,low,no-website,,,,,,
2820598,BLESSINGS HOME LLC,high,,,,,,,
84143,OHIO PLAZA LLC,low,no-website,,,,,,
163334,BELLEVIEW PLACE LLC,high,,,,,,,
84125,OHIO PLAZA LLC,high,,,,,,,
1571819,CY TOWNHOMES LLC,high,,,,,,,
2039505,WATERVIEW MARQUIS LP &,high,,,,,,,
2039698,PRAIRIE CREEK APTS LLC,high,in-house-portal,,,,,,
2751130,JDFW (RESERVE) LLC,high,,,,,,,
2117157,SOUTHWEST CLEARWATER CREEK PARTNERS LP,none,no-website,,,,,,
2748103,TREA ROUTH CREEK TX OWNER LP,high,,2026-06-11,TREA ROUTH CREEK TX OWNER LP,JDFW (VANTAGE) LLC,8,80,Sold Jun 2026 to TREA ROUTH CREEK TX OWNER LP · 420 units · on Yardi → new owner may re-pick software.
2770320,CF JAMES MULTIFAMILY DST,high,,,,,,,
2018601,OTR,high,,,,,,,
2832628,NORTHSIDE CAMPUS PARTNERS 4,high,,,,,,,
2645564,PBONE PRADERA LLC,high,,,,,,,
2696110,FRANKEL FAMILY TRUST,high,,,,,,,
2726690,SYNC CITYLINE LP,high,,,,,,,
2721394,AREIT DALLAS CITYLINE LLC,high,,2025-12-01,AREIT DALLAS CITYLINE LLC,unknown (same owner name in 2025 roll),18,67,Sold Dec 2025 to AREIT DALLAS CITYLINE LLC · 351 units · on Yardi → new owner may re-pick software.
2725292,LOFTS AT PALISADES LLC,high,,,,,,,
2758568,NORTHSIDE CAMPUS PARTNERS LP,high,,,,,,,
2786866,REGISTER RICHARDSON LLC THE,high,,,,,,,
2725278,IMP CITYLINE LLC,high,,,,,,,
2693848,PRICE STANDARD AT CITYLINE LP,high,,,,,,,
2776050,NORTHSIDE CAMPUS PARTNERS 2 LP,high,,,,,,,
2924643,GARLAND HOUSING FINANCE CORPORATION,high,,,,,,,
