propid,dbaname,situsconcatshort,situscity,situszip,ownername,imprvunits,imprvyearbuilt,propusecode
2846017,LUXIA PRESTON,4950 BROADWAY DR,PLANO,75024,LUXIA PRESTON LLC,212,2020,MFU
2843990,LEGACY TOWN NORTH PHASE IV APTS,7840 CLARA DR,PLANO,75024,5765 BOZEMAN (TX) OWNER LP,210,2010,MFU
2097518,RESERVE AT PEBBLE CREEK APARTMENTS,3800 PEBBLE CREEK CT,PLANO,75023,PEBBLE CREEK GARDENS LP,208,1998,MFU
2109636,SOMERSET AT SPRING CREEK APARTMENTS,3801 W SPRING CREEK PKWY,PLANO,75023,SPRING CREEK GARDENS LP,208,1999,MFU
2843977,NORTHSIDE AT LEGACY II APARTMENTS,7620 BISHOP RD,PLANO,75024,5765 BOZEMAN (TX) OWNER LP,204,2008,MFU
1511233,THE WEXLEY,5401 INDEPENDENCE PKWY,PLANO,75023,HARVESTREE OWNER LLC,204,1983,MFU
1515006,MAA HIGHWOOD APARTMENTS,2401 OHIO DR,PLANO,75093,MID-AMERICA APARTMENTS LP,196,1983,MFU
356947,AURA NORTHLINE,541 J PL,PLANO,75074,TRG NORTHLINE LP,195,2024,MFU
1974850,WELLINGTON AT WILLOW BEND APARTMENTS,3200 PARKWOOD BLVD,PLANO,75093,WELLINGTON APARTMENTS UI LLC & DEMING CENTRAL WELLINGTON LLC &,194,1991,MFU
2096027,CORTLAND WEST PLANO,8123 OHIO DR,PLANO,75024,TX APT 8205 TOWNE MAIN DRIVE LP,191,1998,MFU
2843978,NORTHSIDE AT LEGACY II APTS,5720 BOZEMAN DR,PLANO,75024,5765 BOZEMAN (TX) OWNER LP,191,2008,MFU
2544001,BEL AIR DOWNTOWN,1404 VONTRESS ST,PLANO,75074,BEL AIR MULTI 50 LLC &,190,2001,MFU
134633,GROVE PARK APARTMENTS,1705 JUPITER RD,PLANO,75074,BUMPUS DONALD R GRANTOR TRUST THE,188,1975,MFU
1580300,GREENBRIAR APARTMENTS,1901 W SPRING CREEK PKWY,PLANO,75023,PRICE GREENBRIAR PLANO LLC,182,1983,MFU
2132903,HERITAGE AT LAKESIDE APARTMENTS,5900 BAYWATER DR,PLANO,75093,HERITAGE AT LAKESIDE PROPERTY OWNER LLC,181,1999,MFU
2779499,BRIDGE AT HERITAGE CREEK APARTMENTS,1550 W PLANO PKWY,PLANO,75075,BRIDGE AT HERITAGE CREEKSIDE I LLC THE,180,2015,MFU
2092539,LIVINGSTON APARTMENTS,6301 WINDHAVEN PKWY,PLANO,75093,GP-RPC LIVINGSTON LLC,180,1998,MFU
2953639,MARIPOSA AT COMMUNICATIONS PARKWAY SENIOR - TC,6820 COMMUNICATIONS PKWY,PLANO,75024,MARIPOSA COMMUNICATIONS PARKWAY LP,180,2022,MFUSU
2820374,ORCHARDS MARKET PLAZA SENIOR APTS,3640 MAPLESHADE LN,PLANO,75075,CSH PLANO ACT LLC,178,2019,MFUSE
2734943,THE HOLLAND,8020 WINDROSE AVE,PLANO,75024,LW RESIDENTIAL PARTNERS LP,175,2025,MFU
2116750,POST LEGACY APARTMENTS,5721 HENRY COOK BLVD,PLANO,75024,MAA WWARRS LLC,171,1999,MFU
2710065,OVERTURE PLANO SENIOR APARTMENTS,500 COIT RD,PLANO,75075,DHC HYB SLC PROPERTIES LLC,168,2015,MFUSE
2027278,THE CALVIN,2501 OHIO DR,PLANO,75093,RC CALVIN LLC,167,1995,MFU
2581386,VILLAS OF SPRING CREEK II APARTMENTS,6301 STONEWOOD DR,PLANO,75024,CREEKWOOD SPRINGCREEK DEVELOPMENT LP,162,2004,MFU
2808931,INSTRATA AT LEGACY WEST,7850 COMMUNICATIONS PKWY,PLANO,75024,LW OWNER 2 LLC,161,2019,MFU
1747612,PRESERVE AT PRESTON,2525 OHIO DR,PLANO,75093,HOP BORROWER LLC,160,1985,MFU
26251,LYDIAN APARTMENTS,2821 TOWNBLUFF DR,PLANO,75075,TOWNBLUFF RES LLC,160,1976,MFU
1708744,PARK SPRINGS TOWNHOMES APARTMENTS,900 S MEDALIST CIR,PLANO,75023,PARK SPRINGS TEXAS LLC,148,1985,MFU
2936294,NOVUM INDEPENDENT LIVING,8120 PRESTON RD,PLANO,75024,PLANO OWNER LLC,147,2024,MFUSE
2779500,BRIDGE AT HERITAGE CREEKSIDE,1550 W PLANO PKWY,PLANO,75075,BRIDGE AT HERITAGE CREEKSIDE I LLC THE,146,2015,MFU
2006652,VILLAS OF PRESTON CREEK APARTMENTS,6900 PRESTON RD,PLANO,75024,FRANKEL FAMILY TRUST THE,144,1993,MFU
21924,CHISHOLM PLACE APARTMENTS,1001 W PARK BLVD,PLANO,75075,1001 CHISHOLM LLC,142,1981,MFU
2122987,LINK AT PLANO,1013 15TH PL,PLANO,75074,COVEY PLANO LP,142,2000,MFU-IMPO
2802245,MORADA PLANO APARTMENTS,1009 14TH ST,PLANO,75074,TIMBERS PLANO PARTNERS LLC - ETAL,141,2017,MFU
